Occupation,S.NO,Name,Nationality,Current Rank,Previous Year Rank,Category,New Category,Year,earnings,earnings_avg_1,earnings_avg_2,,,,,,,
Celebrities,1597,Rihanna,n/a,n/a,n/a,Musicians,Musicians,2017,36,52.93,52.49,,,,,,,
Celebrities,1598,Bon Jovi,n/a,n/a,n/a,Musicians,Musicians,2017,35.5,52.93,52.49,,,,,,,
Celebrities,1600,Billy Joel,n/a,n/a,n/a,Musicians,Musicians,2017,35,52.93,52.49,,,,,,,
Celebrities,1601,Dr. Dre,n/a,n/a,n/a,Musicians,Musicians,2017,34.5,52.93,52.49,,,,,,,
Celebrities,1602,Florida Georgia Line,n/a,n/a,n/a,Musicians,Musicians,2017,34.5,52.93,52.49,,,,,,,
Celebrities,1603,Toby Keith,n/a,n/a,n/a,Musicians,Musicians,2017,34.5,52.93,52.49,,,,,,,
Celebrities,1609,Britney Spears,n/a,n/a,n/a,Musicians,Musicians,2017,34,52.93,52.49,,,,,,,
Celebrities,1613,Chance The Rapper,n/a,n/a,n/a,Musicians,Musicians,2017,33,52.93,52.49,,,,,,,
Celebrities,1614,Katy Perry,n/a,n/a,n/a,Musicians,Musicians,2017,33,52.93,52.49,,,,,,,
Celebrities,1616,Jason Aldean,n/a,n/a,n/a,Musicians,Musicians,2017,32.5,52.93,52.49,,,,,,,
Celebrities,1515,Howard Stern,n/a,n/a,n/a,Personalities,Personalities,2017,90,52.93,54.93,,,,,,,
Celebrities,1520,Rush Limbaugh,n/a,n/a,n/a,Personalities,Personalities,2017,84,52.93,54.93,,,,,,,
Celebrities,1523,Dr. Phil McGraw,n/a,n/a,n/a,Personalities,Personalities,2017,79,52.93,54.93,,,,,,,
Celebrities,1524,Ellen DeGeneres,n/a,n/a,n/a,Personalities,Personalities,2017,77,52.93,54.93,,,,,,,
Celebrities,1536,Gordon Ramsay,n/a,n/a,n/a,Personalities,Personalities,2017,60,52.93,54.93,,,,,,,
Celebrities,1537,Ryan Seacrest,n/a,n/a,n/a,Personalities,Personalities,2017,58,52.93,54.93,,,,,,,
Celebrities,1552,Judy Sheindlin,n/a,n/a,n/a,Personalities,Personalities,2017,47,52.93,54.93,,,,,,,
Celebrities,1555,Kim Kardashian,n/a,n/a,n/a,Personalities,Personalities,2017,45.5,52.93,54.93,,,,,,,
Celebrities,1558,Simon Cowell,n/a,n/a,n/a,Personalities,Personalities,2017,43.5,52.93,54.93,,,,,,,
Celebrities,1562,Steve Harvey,n/a,n/a,n/a,Personalities,Personalities,2017,42.5,52.93,54.93,,,,,,,
Celebrities,1567,Kylie Jenner,n/a,n/a,n/a,Personalities,Personalities,2017,41,52.93,54.93,,,,,,,
Celebrities,1572,Steve Harvey,n/a,n/a,n/a,Personalities,Personalities,2017,42.5,52.93,54.93,,,,,,,
Celebrities,1577,Kylie Jenner,n/a,n/a,n/a,Personalities,Personalities,2017,41,52.93,54.93,,,,,,,
Celebrities,1591,Bill O'Reilly,n/a,n/a,n/a,Personalities,Personalities,2017,37,52.93,54.93,,,,,,,
Celebrities,1596,Sean Hannity,n/a,n/a,n/a,Personalities,Personalities,2017,36,52.93,54.93,,,,,,,
Celebrities,1566,Sofia Vergara,n/a,n/a,n/a,Television actresses,Actors/Actresses,2017,41.5,52.93,47.27,,,,,,,
Celebrities,1576,Sofia Vergara,n/a,n/a,n/a,Television actresses,Actors/Actresses,2017,41.5,52.93,47.27,,,,,,,
Celebrities,1620,George Clooney,n/a,n/a,n/a,Actors,Actors/Actresses,2018,239,62.24,70.18,,,,,,,
Celebrities,1623,Dwayne Johnson,n/a,n/a,n/a,Actors,Actors/Actresses,2018,124,62.24,70.18,,,,,,,
Celebrities,1638,Robert Downey Jr.,n/a,n/a,n/a,Actors,Actors/Actresses,2018,81,62.24,70.18,,,,,,,
Celebrities,1649,Chris Hemsworth,n/a,n/a,n/a,Actors,Actors/Actresses,2018,64.5,62.24,70.18,,,,,,,
Celebrities,1678,Jackie Chan,n/a,n/a,n/a,Actors,Actors/Actresses,2018,45.5,62.24,70.18,,,,,,,
Celebrities,1688,Jackie Chan,n/a,n/a,n/a,Actors,Actors/Actresses,2018,45.5,62.24,70.18,,,,,,,
Celebrities,1699,Will Smith,n/a,n/a,n/a,Actors,Actors/Actresses,2018,42,62.24,70.18,,,,,,,
Celebrities,1705,Akshay Kumar,n/a,n/a,n/a,Actors,Actors/Actresses,2018,40.5,62.24,70.18,,,,,,,
Celebrities,1706,Adam Sandler,n/a,n/a,n/a,Actors,Actors/Actresses,2018,39.5,62.24,70.18,,,,,,,
Celebrities,1710,Salman Khan,n/a,n/a,n/a,Actors,Actors/Actresses,2018,37.7,62.24,70.18,,,,,,,
Celebrities,1704,Scarlett Johansson,n/a,n/a,n/a,Actresses,Actors/Actresses,2018,40.5,62.24,70.18,,,,,,,
Celebrities,1634,James Patterson,n/a,n/a,n/a,Authors,Authors,2018,86,62.24,70,,,,,,,
Celebrities,1660,J.K. Rowling,n/a,n/a,n/a,Authors,Authors,2018,54,62.24,70,,,,,,,
Celebrities,1656,Jerry Seinfeld,n/a,n/a,n/a,Comedians,Comedians,2018,57.5,62.24,49.83,,,,,,,
Celebrities,1657,Kevin Hart,n/a,n/a,n/a,Comedians,Comedians,2018,57,62.24,49.83,,,,,,,
Celebrities,1726,Dave Chappelle,n/a,n/a,n/a,Comedians,Comedians,2018,35,62.24,49.83,,,,,,,
Celebrities,1651,David Copperfield,n/a,n/a,n/a,Magicians,Magicians,2018,62,62.24,62,,,,,,,
Celebrities,1624,U2,n/a,n/a,n/a,Musicians,Musicians,2018,118,62.24,55.84,,,,,,,
Celebrities,1625,Coldplay,n/a,n/a,n/a,Musicians,Musicians,2018,115.5,62.24,55.84,,,,,,,
Celebrities,1627,Ed Sheeran,n/a,n/a,n/a,Musicians,Musicians,2018,110,62.24,55.84,,,,,,,
Celebrities,1629,Bruno Mars,n/a,n/a,n/a,Musicians,Musicians,2018,100,62.24,55.84,,,,,,,
Celebrities,1637,Katy Perry,n/a,n/a,n/a,Musicians,Musicians,2018,83,62.24,55.84,,,,,,,
Celebrities,1639,Taylor Swift,n/a,n/a,n/a,Musicians,Musicians,2018,80,62.24,55.84,,,,,,,
Celebrities,1643,Jay-Z,n/a,n/a,n/a,Musicians,Musicians,2018,76.5,62.24,55.84,,,,,,,
Celebrities,1645,Guns N' Roses,n/a,n/a,n/a,Musicians,Musicians,2018,71,62.24,55.84,,,,,,,
Celebrities,1646,Roger Waters,n/a,n/a,n/a,Musicians,Musicians,2018,68,62.24,55.84,,,,,,,
Celebrities,1650,Sean (Diddy) Combs,n/a,n/a,n/a,Musicians,Musicians,2018,64,62.24,55.84,,,,,,,
Celebrities,1653,Beyonce Knowles,n/a,n/a,n/a,Musicians,Musicians,2018,60,62.24,55.84,,,,,,,
Celebrities,1655,Kendrick Lamar,n/a,n/a,n/a,Musicians,Musicians,2018,58,62.24,55.84,,,,,,,
Celebrities,1658,The Weeknd,n/a,n/a,n/a,Musicians,Musicians,2018,57,62.24,55.84,,,,,,,
Celebrities,1659,The Eagles,n/a,n/a,n/a,Musicians,Musicians,2018,56,62.24,55.84,,,,,,,
Celebrities,1662,Depeche Mode,n/a,n/a,n/a,Musicians,Musicians,2018,53,62.24,55.84,,,,,,,
Celebrities,1663,Luke Bryan,n/a,n/a,n/a,Musicians,Musicians,2018,52,62.24,55.84,,,,,,,
Celebrities,1664,Pink,n/a,n/a,n/a,Musicians,Musicians,2018,52,62.24,55.84,,,,,,,
Celebrities,1665,Jimmy Buffett,n/a,n/a,n/a,Musicians,Musicians,2018,51,62.24,55.84,,,,,,,
Celebrities,1667,Lady Gaga,n/a,n/a,n/a,Musicians,Musicians,2018,50,62.24,55.84,,,,,,,
Celebrities,1668,Calvin Harris,n/a,n/a,n/a,Musicians,Musicians,2018,48,62.24,55.84,,,,,,,
Celebrities,1669,Paul McCartney,n/a,n/a,n/a,Musicians,Musicians,2018,47.5,62.24,55.84,,,,,,,
Celebrities,1671,Drake,n/a,n/a,n/a,Musicians,Musicians,2018,47,62.24,55.84,,,,,,,
Celebrities,1672,Foo Fighters,n/a,n/a,n/a,Musicians,Musicians,2018,47,62.24,55.84,,,,,,,
Celebrities,1673,Jennifer Lopez,n/a,n/a,n/a,Musicians,Musicians,2018,47,62.24,55.84,,,,,,,
Celebrities,1675,Elton John,n/a,n/a,n/a,Musicians,Musicians,2018,46,62.24,55.84,,,,,,,
Celebrities,1676,Metallica,n/a,n/a,n/a,Musicians,Musicians,2018,46,62.24,55.84,,,,,,,
Celebrities,1677,Garth Brooks,n/a,n/a,n/a,Musicians,Musicians,2018,45.5,62.24,55.84,,,,,,,
Celebrities,1679,Paul McCartney,n/a,n/a,n/a,Musicians,Musicians,2018,47.5,62.24,55.84,,,,,,,
Celebrities,1681,Drake,n/a,n/a,n/a,Musicians,Musicians,2018,47,62.24,55.84,,,,,,,
Celebrities,1682,Foo Fighters,n/a,n/a,n/a,Musicians,Musicians,2018,47,62.24,55.84,,,,,,,
Celebrities,1683,Jennifer Lopez,n/a,n/a,n/a,Musicians,Musicians,2018,47,62.24,55.84,,,,,,,
Celebrities,1685,Elton John,n/a,n/a,n/a,Musicians,Musicians,2018,46,62.24,55.84,,,,,,,
Celebrities,1686,Metallica,n/a,n/a,n/a,Musicians,Musicians,2018,46,62.24,55.84,,,,,,,
Celebrities,1687,Garth Brooks,n/a,n/a,n/a,Musicians,Musicians,2018,45.5,62.24,55.84,,,,,,,
Celebrities,1689,The Chainsmokers,n/a,n/a,n/a,Musicians,Musicians,2018,45.5,62.24,55.84,,,,,,,
Celebrities,1693,Billy Joel,n/a,n/a,n/a,Musicians,Musicians,2018,43.5,62.24,55.84,,,,,,,
Celebrities,1709,Rolling Stones,n/a,n/a,n/a,Musicians,Musicians,2018,39,62.24,55.84,,,,,,,
Celebrities,1713,Rihanna,n/a,n/a,n/a,Musicians,Musicians,2018,37.5,62.24,55.84,,,,,,,
Celebrities,1714,Bruce Springsteen,n/a,n/a,n/a,Musicians,Musicians,2018,37.5,62.24,55.84,,,,,,,
Celebrities,1715,Kenny Chesney,n/a,n/a,n/a,Musicians,Musicians,2018,37,62.24,55.84,,,,,,,
Celebrities,1717,Imagine Dragons,n/a,n/a,n/a,Musicians,Musicians,2018,36.5,62.24,55.84,,,,,,,
Celebrities,1722,J. Cole,n/a,n/a,n/a,Musicians,Musicians,2018,35.5,62.24,55.84,,,,,,,
Celebrities,1727,Dr. Dre,n/a,n/a,n/a,Musicians,Musicians,2018,35,62.24,55.84,,,,,,,
Celebrities,1728,Nas,n/a,n/a,n/a,Musicians,Musicians,2018,35,62.24,55.84,,,,,,,
Celebrities,1621,Kylie Jenner,n/a,n/a,n/a,Personalities,Personalities,2018,166.5,62.24,78.23,,,,,,,
Celebrities,1622,Judy Sheindlin,n/a,n/a,n/a,Personalities,Personalities,2018,147,62.24,78.23,,,,,,,
Celebrities,1632,Howard Stern,n/a,n/a,n/a,Personalities,Personalities,2018,90,62.24,78.23,,,,,,,
Celebrities,1633,Ellen DeGeneres,n/a,n/a,n/a,Personalities,Personalities,2018,87.5,62.24,78.23,,,,,,,
Celebrities,1636,Rush Limbaugh,n/a,n/a,n/a,Personalities,Personalities,2018,84.5,62.24,78.23,,,,,,,
Celebrities,1640,Dr. Phil McGraw,n/a,n/a,n/a,Personalities,Personalities,2018,77.5,62.24,78.23,,,,,,,
Celebrities,1644,Ryan Seacrest,n/a,n/a,n/a,Personalities,Personalities,2018,74,62.24,78.23,,,,,,,
Celebrities,1648,Kim Kardashian,n/a,n/a,n/a,Personalities,Personalities,2018,67,62.24,78.23,,,,,,,
Celebrities,1652,Gordon Ramsay,n/a,n/a,n/a,Personalities,Personalities,2018,62,62.24,78.23,,,,,,,
Celebrities,1691,Steve Harvey,n/a,n/a,n/a,Personalities,Personalities,2018,44,62.24,78.23,,,,,,,
Celebrities,1692,Simon Cowell,n/a,n/a,n/a,Personalities,Personalities,2018,43.5,62.24,78.23,,,,,,,
Celebrities,1712,Kris Jenner,n/a,n/a,n/a,Personalities,Personalities,2018,37.5,62.24,78.23,,,,,,,
Celebrities,1720,Sean Hannity,n/a,n/a,n/a,Personalities,Personalities,2018,36,62.24,78.23,,,,,,,
Celebrities,1696,Sofia Vergara,n/a,n/a,n/a,Television actresses,Actors/Actresses,2018,42.5,62.24,70.18,,,,,,,
Celebrities,1743,Dwayne Johnson,n/a,n/a,n/a,Actors,Actors/Actresses,2019,89.4,62.47,59.3,,,,,,,
Celebrities,1752,Chris Hemsworth,n/a,n/a,n/a,Actors,Actors/Actresses,2019,76.4,62.47,59.3,,,,,,,
Celebrities,1759,Robert Downey Jr.,n/a,n/a,n/a,Actors,Actors/Actresses,2019,66,62.47,59.3,,,,,,,
Celebrities,1761,Akshay Kumar,n/a,n/a,n/a,Actors,Actors/Actresses,2019,65,62.47,59.3,,,,,,,
Celebrities,1767,Jackie Chan,n/a,n/a,n/a,Actors,Actors/Actresses,2019,58,62.47,59.3,,,,,,,
Celebrities,1772,Bradley Cooper,n/a,n/a,n/a,Actors,Actors/Actresses,2019,57,62.47,59.3,,,,,,,
Celebrities,1774,Adam Sandler,n/a,n/a,n/a,Actors,Actors/Actresses,2019,57,62.47,59.3,,,,,,,
Celebrities,1811,Chris Evans,n/a,n/a,n/a,Actors,Actors/Actresses,2019,43.5,62.47,59.3,,,,,,,
Celebrities,1821,Paul Rudd,n/a,n/a,n/a,Actors,Actors/Actresses,2019,41,62.47,59.3,,,,,,,
Celebrities,1775,Scarlett Johansson,n/a,n/a,n/a,Actresses,Actors/Actresses,2019,56,62.47,59.3,,,,,,,
Celebrities,1741,J.K. Rowling,n/a,n/a,n/a,Authors,Authors,2019,92,62.47,81,,,,,,,
Celebrities,1757,James Patterson,n/a,n/a,n/a,Authors,Authors,2019,70,62.47,81,,,,,,,
Celebrities,1766,Kevin Hart,n/a,n/a,n/a,Comedians,Comedians,2019,59,62.47,50,,,,,,,
Celebrities,1822,Jerry Seinfeld,n/a,n/a,n/a,Comedians,Comedians,2019,41,62.47,50,,,,,,,
Celebrities,1765,David Copperfield,n/a,n/a,n/a,Magicians,Magicians,2019,60,62.47,60,,,,,,,
Celebrities,1729,Taylor Swift,n/a,n/a,n/a,Musicians,Musicians,2019,185,62.47,59.55,,,,,,,
Celebrities,1731,Kanye West,n/a,n/a,n/a,Musicians,Musicians,2019,150,62.47,59.55,,,,,,,
Celebrities,1733,Ed Sheeran,n/a,n/a,n/a,Musicians,Musicians,2019,110,62.47,59.55,,,,,,,
Celebrities,1736,The Eagles,n/a,n/a,n/a,Musicians,Musicians,2019,100,62.47,59.55,,,,,,,
Celebrities,1747,Elton John,n/a,n/a,n/a,Musicians,Musicians,2019,84,62.47,59.55,,,,,,,
Celebrities,1748,Jay-Z,n/a,n/a,n/a,Musicians,Musicians,2019,81,62.47,59.55,,,,,,,
Celebrities,1749,Beyonce Knowles,n/a,n/a,n/a,Musicians,Musicians,2019,81,62.47,59.55,,,,,,,
Celebrities,1753,Drake,n/a,n/a,n/a,Musicians,Musicians,2019,75,62.47,59.55,,,,,,,
Celebrities,1756,Sean (Diddy) Combs,n/a,n/a,n/a,Musicians,Musicians,2019,70,62.47,59.55,,,,,,,
Celebrities,1758,Metallica,n/a,n/a,n/a,Musicians,Musicians,2019,68.5,62.47,59.55,,,,,,,
Celebrities,1764,Rihanna,n/a,n/a,n/a,Musicians,Musicians,2019,62,62.47,59.55,,,,,,,
Celebrities,1768,Travis Scott,n/a,n/a,n/a,Musicians,Musicians,2019,58,62.47,59.55,,,,,,,
Celebrities,1769,Katy Perry,n/a,n/a,n/a,Musicians,Musicians,2019,57.5,62.47,59.55,,,,,,,
Celebrities,1770,Justin Timberlake,n/a,n/a,n/a,Musicians,Musicians,2019,57.5,62.47,59.55,,,,,,,
Celebrities,1771,BTS,n/a,n/a,n/a,Musicians,Musicians,2019,57,62.47,59.55,,,,,,,
Celebrities,1773,Pink,n/a,n/a,n/a,Musicians,Musicians,2019,57,62.47,59.55,,,,,,,
Celebrities,1781,Billy Joel,n/a,n/a,n/a,Musicians,Musicians,2019,52,62.47,59.55,,,,,,,
Celebrities,1782,Bruno Mars,n/a,n/a,n/a,Musicians,Musicians,2019,51.5,62.47,59.55,,,,,,,
Celebrities,1785,Jimmy Buffett,n/a,n/a,n/a,Musicians,Musicians,2019,50,62.47,59.55,,,,,,,
Celebrities,1786,Eminem,n/a,n/a,n/a,Musicians,Musicians,2019,50,62.47,59.55,,,,,,,
Celebrities,1787,Fleetwood Mac,n/a,n/a,n/a,Musicians,Musicians,2019,49,62.47,59.55,,,,,,,
Celebrities,1791,Billy Joel,n/a,n/a,n/a,Musicians,Musicians,2019,52,62.47,59.55,,,,,,,
Celebrities,1792,Bruno Mars,n/a,n/a,n/a,Musicians,Musicians,2019,51.5,62.47,59.55,,,,,,,
Celebrities,1795,Jimmy Buffett,n/a,n/a,n/a,Musicians,Musicians,2019,50,62.47,59.55,,,,,,,
Celebrities,1796,Eminem,n/a,n/a,n/a,Musicians,Musicians,2019,50,62.47,59.55,,,,,,,
Celebrities,1797,Fleetwood Mac,n/a,n/a,n/a,Musicians,Musicians,2019,49,62.47,59.55,,,,,,,
Celebrities,1800,Ariana Grande,n/a,n/a,n/a,Musicians,Musicians,2019,48,62.47,59.55,,,,,,,
Celebrities,1801,Paul McCartney,n/a,n/a,n/a,Musicians,Musicians,2019,48,62.47,59.55,,,,,,,
Celebrities,1806,The Chainsmokers,n/a,n/a,n/a,Musicians,Musicians,2019,46,62.47,59.55,,,,,,,
Celebrities,1809,Guns N' Roses,n/a,n/a,n/a,Musicians,Musicians,2019,44,62.47,59.55,,,,,,,
Celebrities,1814,Jennifer Lopez,n/a,n/a,n/a,Musicians,Musicians,2019,43,62.47,59.55,,,,,,,
Celebrities,1816,Luke Bryan,n/a,n/a,n/a,Musicians,Musicians,2019,42.5,62.47,59.55,,,,,,,
Celebrities,1823,Rolling Stones,n/a,n/a,n/a,Musicians,Musicians,2019,41,62.47,59.55,,,,,,,
Celebrities,1825,DJ Khaled,n/a,n/a,n/a,Musicians,Musicians,2019,40,62.47,59.55,,,,,,,
Celebrities,1826,Marshmello,n/a,n/a,n/a,Musicians,Musicians,2019,40,62.47,59.55,,,,,,,
Celebrities,1827,The Weeknd,n/a,n/a,n/a,Musicians,Musicians,2019,40,62.47,59.55,,,,,,,
Celebrities,1828,Lady Gaga,n/a,n/a,n/a,Musicians,Musicians,2019,39.5,62.47,59.55,,,,,,,
Celebrities,1830,Dave Matthews Band,n/a,n/a,n/a,Musicians,Musicians,2019,39,62.47,59.55,,,,,,,
Celebrities,1833,Zac Brown Band,n/a,n/a,n/a,Musicians,Musicians,2019,38.5,62.47,59.55,,,,,,,
Celebrities,1834,Calvin Harris,n/a,n/a,n/a,Musicians,Musicians,2019,38.5,62.47,59.55,,,,,,,
Celebrities,1835,Kendrick Lamar,n/a,n/a,n/a,Musicians,Musicians,2019,38.5,62.47,59.55,,,,,,,
Celebrities,1837,Shawn Mendes,n/a,n/a,n/a,Musicians,Musicians,2019,38,62.47,59.55,,,,,,,
Celebrities,1838,Celine Dion,n/a,n/a,n/a,Musicians,Musicians,2019,37.5,62.47,59.55,,,,,,,
Celebrities,1730,Kylie Jenner,n/a,n/a,n/a,Personalities,Personalities,2019,170,62.47,74.08,,,,,,,
Celebrities,1737,Dr. Phil McGraw,n/a,n/a,n/a,Personalities,Personalities,2019,95,62.47,74.08,,,,,,,
Celebrities,1740,Howard Stern,n/a,n/a,n/a,Personalities,Personalities,2019,93,62.47,74.08,,,,,,,
Celebrities,1746,Rush Limbaugh,n/a,n/a,n/a,Personalities,Personalities,2019,87,62.47,74.08,,,,,,,
Celebrities,1750,Ellen DeGeneres,n/a,n/a,n/a,Personalities,Personalities,2019,80.5,62.47,74.08,,,,,,,
Celebrities,1754,Kim Kardashian,n/a,n/a,n/a,Personalities,Personalities,2019,72,62.47,74.08,,,,,,,
Celebrities,1755,Ryan Seacrest,n/a,n/a,n/a,Personalities,Personalities,2019,71.5,62.47,74.08,,,,,,,
Celebrities,1763,Gordon Ramsay,n/a,n/a,n/a,Personalities,Personalities,2019,63,62.47,74.08,,,,,,,
Celebrities,1788,Judy Sheindlin,n/a,n/a,n/a,Personalities,Personalities,2019,49,62.47,74.08,,,,,,,
Celebrities,1798,Judy Sheindlin,n/a,n/a,n/a,Personalities,Personalities,2019,49,62.47,74.08,,,,,,,
Celebrities,1805,Sean Hannity,n/a,n/a,n/a,Personalities,Personalities,2019,46,62.47,74.08,,,,,,,
Celebrities,1807,Steve Harvey,n/a,n/a,n/a,Personalities,Personalities,2019,45,62.47,74.08,,,,,,,
Celebrities,1818,Simon Cowell,n/a,n/a,n/a,Personalities,Personalities,2019,42,62.47,74.08,,,,,,,
Celebrities,1815,Sofia Vergara,n/a,n/a,n/a,Television actresses,Actors/Actresses,2019,43,62.47,59.3,,,,,,,
