Occupation,S.NO,Name,Nationality,Current Rank,Previous Year Rank,Category,Year,earnings
Celebrity,1179,Floyd Mayweather,n/a,n/a,n/a,Athletes,2013,34
Celebrity,1180,Mila Kunis,n/a,n/a,n/a,Actresses,2013,11
Celebrity,1181,Sandra Bullock,n/a,n/a,n/a,Actresses,2013,14
Celebrity,1182,Danica Patrick,n/a,n/a,n/a,Athletes,2013,15
Celebrity,1183,Amy Poehler,n/a,n/a,n/a,Actresses,2013,7
Celebrity,1184,George Lopez,n/a,n/a,n/a,Comedians,2013,12
Celebrity,1185,Ray Romano,n/a,n/a,n/a,Comedians,2013,16
Celebrity,1186,Kevin Hart,n/a,n/a,n/a,Comedians,2013,14
Celebrity,1187,Zooey Deschanel,n/a,n/a,n/a,Actresses,2013,6
Celebrity,1188,Louis C.K.,n/a,n/a,n/a,Comedians,2013,16
Celebrity,1189,Melissa McCarthy,n/a,n/a,n/a,Actresses,2013,10
Celebrity,1190,Joss Whedon,n/a,n/a,n/a,Directors/Producers,2013,25
Celebrity,1191,Miranda Kerr,n/a,n/a,n/a,Models,2013,7
Celebrity,1192,Beyonce Knowles,n/a,n/a,n/a,Musicians,2014,115
Celebrity,1193,LeBron James,n/a,n/a,n/a,Athletes,2014,72
Celebrity,1194,Dr. Dre,n/a,n/a,n/a,Musicians,2014,620
Celebrity,1195,Oprah Winfrey,n/a,n/a,n/a,Personalities,2014,82
Celebrity,1196,Ellen DeGeneres,n/a,n/a,n/a,Personalities,2014,70
Celebrity,1197,Jay-Z,n/a,n/a,n/a,Musicians,2014,60
Celebrity,1198,Floyd Mayweather,n/a,n/a,n/a,Athletes,2014,105
Celebrity,1199,Rihanna,n/a,n/a,n/a,Musicians,2014,48
Celebrity,1200,Katy Perry,n/a,n/a,n/a,Musicians,2014,40
Celebrity,1201,Robert Downey Jr.,n/a,n/a,n/a,Actors,2014,75
Celebrity,1202,Steven Spielberg,n/a,n/a,n/a,Directors/Producers,2014,100
Celebrity,1203,Jennifer Lawrence,n/a,n/a,n/a,Actresses,2014,34
Celebrity,1204,Bon Jovi,n/a,n/a,n/a,Musicians,2014,82
Celebrity,1205,Bruno Mars,n/a,n/a,n/a,Musicians,2014,60
Celebrity,1206,Kobe Bryant,n/a,n/a,n/a,Athletes,2014,62
Celebrity,1207,Roger Federer,n/a,n/a,n/a,Athletes,2014,55
Celebrity,1208,Miley Cyrus,n/a,n/a,n/a,Musicians,2014,36
Celebrity,1209,Tylor Swift,n/a,n/a,n/a,Musicians,2014,64
Celebrity,1210,Lady Gaga,n/a,n/a,n/a,Musicians,2014,33
Celebrity,1211,Kanye West,n/a,n/a,n/a,Musicians,2014,30
Celebrity,1212,Calvin Harris,n/a,n/a,n/a,Musicians,2014,66
Celebrity,1213,Tiger Woods,n/a,n/a,n/a,Athletes,2014,61
Celebrity,1214,Dwayne Johnson,n/a,n/a,n/a,Actors,2014,52
Celebrity,1215,Rafael Nadal,n/a,n/a,n/a,Athletes,2014,45
Celebrity,1216,Bruce Springsteen,n/a,n/a,n/a,Musicians,2014,81
Celebrity,1217,The Eagles,n/a,n/a,n/a,Musicians,2014,100
Celebrity,1218,Justin Timberlake,n/a,n/a,n/a,Musicians,2014,57
Celebrity,1219,One Direction,n/a,n/a,n/a,Musicians,2014,75
Celebrity,1220,Paul McCartney,n/a,n/a,n/a,Musicians,2014,71
Celebrity,1221,Cristiano Ronaldo,n/a,n/a,n/a,Athletes,2014,80
Celebrity,1222,Sean (Diddy) Combs,n/a,n/a,n/a,Musicians,2014,60
Celebrity,1223,Ryan Seacrest,n/a,n/a,n/a,Personalities,2014,65
Celebrity,1224,Justin Bieber,n/a,n/a,n/a,Musicians,2014,80
Celebrity,1225,Kevin Durant,n/a,n/a,n/a,Athletes,2014,32
Celebrity,1226,Jennifer Lopez,n/a,n/a,n/a,Musicians,2014,37
Celebrity,1227,Sandra Bullock,n/a,n/a,n/a,Actresses,2014,51
Celebrity,1228,James Patterson,n/a,n/a,n/a,Authors,2014,90
Celebrity,1229,Pharrell Williams,n/a,n/a,n/a,Musicians,2014,22
Celebrity,1230,Glenn Beck,n/a,n/a,n/a,Personalities,2014,90
Celebrity,1231,Peyton Manning,n/a,n/a,n/a,Athletes,2014,27
Celebrity,1232,Mark Burnett,n/a,n/a,n/a,Directors/Producers,2014,86
Celebrity,1233,Simon Cowell,n/a,n/a,n/a,Personalities,2014,95
Celebrity,1234,Novak Djokovic,n/a,n/a,n/a,Athletes,2014,33
Celebrity,1235,Phil Mickelson,n/a,n/a,n/a,Athletes,2014,54
Celebrity,1236,Jimmy Fallon,n/a,n/a,n/a,Personalities,2014,12
Celebrity,1237,Lionel Messi,n/a,n/a,n/a,Athletes,2014,65
Celebrity,1238,Avicii,n/a,n/a,n/a,Musicians,2014,28
Celebrity,1239,Bradley Cooper,n/a,n/a,n/a,Actors,2014,46
Celebrity,1240,Peter Jackson,n/a,n/a,n/a,Directors/Producers,2014,50
Celebrity,1241,Michael Bay,n/a,n/a,n/a,Directors/Producers,2014,66
Celebrity,1242,Toby Keith,n/a,n/a,n/a,Musicians,2014,65
Celebrity,1243,Leonardo DiCaprio,n/a,n/a,n/a,Actors,2014,39
Celebrity,1244,Matthew McConaughey,n/a,n/a,n/a,Actors,2014,21
Celebrity,1245,Sofia Vergara,n/a,n/a,n/a,Television actresses,2014,37
Celebrity,1246,Dwyane Wade,n/a,n/a,n/a,Athletes,2014,30
Celebrity,1247,Gisele Bündchen,n/a,n/a,n/a,Models,2014,47
Celebrity,1248,Tyler Perry,n/a,n/a,n/a,Directors/Producers,2014,70
Celebrity,1249,Gordon Ramsay,n/a,n/a,n/a,Personalities,2014,47
Celebrity,1250,Rush Limbaugh,n/a,n/a,n/a,Personalities,2014,66
Celebrity,1251,Jon Stewart,n/a,n/a,n/a,Personalities,2014,16
Celebrity,1252,Mark Wahlberg,n/a,n/a,n/a,Actors,2014,32
Celebrity,1253,Howard Stern,n/a,n/a,n/a,Personalities,2014,95
Celebrity,1254,Hugh Jackman,n/a,n/a,n/a,Actors,2014,18
Celebrity,1255,Ashton Kutcher,n/a,n/a,n/a,Actors,2014,26
Celebrity,1256,Maria Sharapova,n/a,n/a,n/a,Athletes,2014,24
Celebrity,1257,Vin Diesel,n/a,n/a,n/a,Actors,2014,25
Celebrity,1258,Ben Affleck,n/a,n/a,n/a,Actors,2014,35
Celebrity,1259,Joss Whedon,n/a,n/a,n/a,Directors/Producers,2014,32
Celebrity,1260,Serena Williams,n/a,n/a,n/a,Athletes,2014,22
Celebrity,1261,Kenny Chesney,n/a,n/a,n/a,Musicians,2014,44
Celebrity,1262,J.J. Abrams,n/a,n/a,n/a,Directors/Producers,2014,28
Celebrity,1263,Neil Patrick Harris,n/a,n/a,n/a,Television actors,2014,18
Celebrity,1264,Angelina Jolie,n/a,n/a,n/a,Actresses,2014,18
Celebrity,1265,Kevin Spacey,n/a,n/a,n/a,Television actors,2014,16
Celebrity,1266,Will Smith,n/a,n/a,n/a,Actors,2014,32
Celebrity,1267,Scarlett Johansson,n/a,n/a,n/a,Actresses,2014,17
Celebrity,1268,Jennifer Aniston,n/a,n/a,n/a,Actresses,2014,31
Celebrity,1269,Dan Brown,n/a,n/a,n/a,Authors,2014,28
Celebrity,1270,John Green,n/a,n/a,n/a,Authors,2014,9
Celebrity,1271,Kim Kardashian,n/a,n/a,n/a,Personalities,2014,28
Celebrity,1272,Amy Adams,n/a,n/a,n/a,Actresses,2014,13
Celebrity,1273,Stephen King,n/a,n/a,n/a,Authors,2014,17
Celebrity,1274,Dr. Phil McGraw,n/a,n/a,n/a,Personalities,2014,77
Celebrity,1275,J.K. Rowling,n/a,n/a,n/a,Authors,2014,14
Celebrity,1276,Li Na,n/a,n/a,n/a,Athletes,2014,24
Celebrity,1277,Sean Hannity,n/a,n/a,n/a,Personalities,2014,30
Celebrity,1278,Seth MacFarlane,n/a,n/a,n/a,Directors/Producers,2014,35
Celebrity,1279,Bryan Cranston,n/a,n/a,n/a,Television actors,2014,7
Celebrity,1280,Jon Hamm,n/a,n/a,n/a,Television actors,2014,10
Celebrity,1281,Gwyneth Paltrow,n/a,n/a,n/a,Actresses,2014,19
Celebrity,1282,Kate Moss,n/a,n/a,n/a,Models,2014,7
Celebrity,1283,Meryl Streep,n/a,n/a,n/a,Actresses,2014,10
Celebrity,1284,Kerry Washington,n/a,n/a,n/a,Actresses,2014,6
Celebrity,1285,Kate Upton,n/a,n/a,n/a,Models,2014,7
Celebrity,1286,Veronica Roth,n/a,n/a,n/a,Authors,2014,17
Celebrity,1287,Zooey Deschanel,n/a,n/a,n/a,Actresses,2014,6
Celebrity,1288,Cameron Diaz,n/a,n/a,n/a,Actresses,2014,18
Celebrity,1289,Floyd Mayweather,n/a,n/a,n/a,Athletes,2015,300
Celebrity,1290,Manny Pacquiao,n/a,n/a,n/a,Athletes,2015,160
Celebrity,1291,Katy Perry,n/a,n/a,n/a,Musicians,2015,135
Celebrity,1292,One Direction,n/a,n/a,n/a,Musicians,2015,130
Celebrity,1293,Howard Stern,n/a,n/a,n/a,Personalities,2015,95
Celebrity,1294,Garth Brooks,n/a,n/a,n/a,Musicians,2015,90
Celebrity,1295,James Patterson,n/a,n/a,n/a,Authors,2015,89
Celebrity,1296,Robert Downey Jr.,n/a,n/a,n/a,Actors,2015,80
Celebrity,1297,Taylor Swift,n/a,n/a,n/a,Musicians,2015,80
Celebrity,1298,Cristiano Ronaldo,n/a,n/a,n/a,Athletes,2015,79.5
Celebrity,1299,Rush Limbaugh,n/a,n/a,n/a,Personalities,2015,79
Celebrity,1300,Ellen DeGeneres,n/a,n/a,n/a,Personalities,2015,75
Celebrity,1301,Lionel Messi,n/a,n/a,n/a,Athletes,2015,74
Celebrity,1302,The Eagles,n/a,n/a,n/a,Musicians,2015,73.5
Celebrity,1303,Dr. Phil McGraw,n/a,n/a,n/a,Personalities,2015,70
Celebrity,1304,Roger Federer,n/a,n/a,n/a,Athletes,2015,67
Celebrity,1305,Calvin Harris,n/a,n/a,n/a,Musicians,2015,66
Celebrity,1306,LeBron James,n/a,n/a,n/a,Athletes,2015,65
Celebrity,1307,Justin Timberlake,n/a,n/a,n/a,Musicians,2015,63.5
Celebrity,1308,David Copperfield,n/a,n/a,n/a,Magicians,2015,63
Celebrity,1309,Sean (Diddy) Combs,n/a,n/a,n/a,Musicians,2015,60
Celebrity,1310,Gordon Ramsay,n/a,n/a,n/a,Personalities,2015,60
Celebrity,1311,Ryan Seacrest,n/a,n/a,n/a,Personalities,2015,60
Celebrity,1312,Fleetwood Mac,n/a,n/a,n/a,Musicians,2015,59.5
Celebrity,1313,Lady Gaga,n/a,n/a,n/a,Musicians,2015,59
Celebrity,1314,Rolling Stones,n/a,n/a,n/a,Musicians,2015,57.5
Celebrity,1315,Ed Sheeran,n/a,n/a,n/a,Musicians,2015,57
Celebrity,1316,Jay-Z,n/a,n/a,n/a,Musicians,2015,56
Celebrity,1317,Beyonce Knowles,n/a,n/a,n/a,Musicians,2015,54.5
Celebrity,1318,Kevin Durant,n/a,n/a,n/a,Athletes,2015,54
Celebrity,1319,Elton John,n/a,n/a,n/a,Musicians,2015,53.5
Celebrity,1320,Toby Keith,n/a,n/a,n/a,Musicians,2015,53
Celebrity,1321,Kim Kardashian,n/a,n/a,n/a,Personalities,2015,52.5
Celebrity,1322,Jennifer Lawrence,n/a,n/a,n/a,Actresses,2015,52
Celebrity,1323,Paul McCartney,n/a,n/a,n/a,Musicians,2015,51.5
Celebrity,1324,Phil Mickelson,n/a,n/a,n/a,Athletes,2015,51
Celebrity,1325,Tiger Woods,n/a,n/a,n/a,Athletes,2015,50.5
Celebrity,1326,Jackie Chan,n/a,n/a,n/a,Actors,2015,50
Celebrity,1327,Kobe Bryant,n/a,n/a,n/a,Athletes,2015,49.5
Celebrity,1328,Ben Roethlisberger,n/a,n/a,n/a,Athletes,2015,49
Celebrity,1329,Rory McIlroy,n/a,n/a,n/a,Athletes,2015,48.5
Celebrity,1330,Novak Djokovic,n/a,n/a,n/a,Athletes,2015,48
Celebrity,1331,Vin Diesel,n/a,n/a,n/a,Actors,2015,47
Celebrity,1332,Judy Sheindlin,n/a,n/a,n/a,Personalities,2015,47
Celebrity,1333,Michael Bublé,n/a,n/a,n/a,Musicians,2015,45.5
Celebrity,1334,Gisele Bündchen,n/a,n/a,n/a,Models,2015,44
Celebrity,1335,Jason Aldean,n/a,n/a,n/a,Musicians,2015,43.5
Celebrity,1336,Luke Bryan,n/a,n/a,n/a,Musicians,2015,42.5
Celebrity,1337,Kenny Chesney,n/a,n/a,n/a,Musicians,2015,42
Celebrity,1338,Bradley Cooper,n/a,n/a,n/a,Actors,2015,41.5
Celebrity,1339,Adam Sandler,n/a,n/a,n/a,Actors,2015,41
Celebrity,1340,Tom Cruise,n/a,n/a,n/a,Actors,2015,40
Celebrity,1341,Bruno Mars,n/a,n/a,n/a,Musicians,2015,40
Celebrity,1342,Drake,n/a,n/a,n/a,Hip-hop impresario,2015,39.5
Celebrity,1343,Lewis Hamilton,n/a,n/a,n/a,Athletes,2015,39
Celebrity,1344,Zlatan Ibrahimovic,n/a,n/a,n/a,Athletes,2015,39
Celebrity,1345,Ndamukong Suh,n/a,n/a,n/a,Athletes,2015,38.5
Celebrity,1346,Foo Fighters,n/a,n/a,n/a,Musicians,2015,38
Celebrity,1347,Tim McGraw,n/a,n/a,n/a,Musicians,2015,38
Celebrity,1348,David Guetta,n/a,n/a,n/a,Musicians,2015,37
Celebrity,1349,Adam Sandler,n/a,n/a,n/a,Actors,2015,41
Celebrity,1350,Tom Cruise,n/a,n/a,n/a,Actors,2015,40
Celebrity,1351,Bruno Mars,n/a,n/a,n/a,Musicians,2015,40
Celebrity,1352,Drake,n/a,n/a,n/a,Hip-hop impresario,2015,39.5
Celebrity,1353,Lewis Hamilton,n/a,n/a,n/a,Athletes,2015,39
Celebrity,1354,Zlatan Ibrahimovic,n/a,n/a,n/a,Athletes,2015,39
Celebrity,1355,Ndamukong Suh,n/a,n/a,n/a,Athletes,2015,38.5
Celebrity,1356,Foo Fighters,n/a,n/a,n/a,Musicians,2015,38
Celebrity,1357,Tim McGraw,n/a,n/a,n/a,Musicians,2015,38
Celebrity,1358,David Guetta,n/a,n/a,n/a,Musicians,2015,37
Celebrity,1359,Florida Georgia Line,n/a,n/a,n/a,Musicians,2015,36.5
Celebrity,1360,Jimmy Buffett,n/a,n/a,n/a,Musicians,2015,36
Celebrity,1361,Jerry Seinfeld,n/a,n/a,n/a,Comedians,2015,36
Celebrity,1362,Tiesto,n/a,n/a,n/a,Musicians,2015,36
Celebrity,1363,Fernando Alonso,n/a,n/a,n/a,Athletes,2015,35.5
Celebrity,1364,Scarlett Johansson,n/a,n/a,n/a,Actresses,2015,35.5
Celebrity,1365,Gareth Bale,n/a,n/a,n/a,Athletes,2015,35
Celebrity,1366,David Letterman,n/a,n/a,n/a,Personalities,2015,35
Celebrity,1367,Jon Lester,n/a,n/a,n/a,Athletes,2015,34
Celebrity,1368,Derrick Rose,n/a,n/a,n/a,Athletes,2015,34
Celebrity,1369,Amitabh Bachchan,n/a,n/a,n/a,Actors,2015,33.5
Celebrity,1370,Salman Khan,n/a,n/a,n/a,Actors,2015,33.5
Celebrity,1371,Maroon 5,n/a,n/a,n/a,Musicians,2015,33
Celebrity,1372,Dr. Dre,n/a,n/a,n/a,Musicians,2015,33
Celebrity,1373,Sebastian Vettel,n/a,n/a,n/a,Athletes,2015,33
Celebrity,1374,Akshay Kumar,n/a,n/a,n/a,Actors,2015,32.5
Celebrity,1375,Rafael Nadal,n/a,n/a,n/a,Athletes,2015,32.5
Celebrity,1376,Zac Brown Band,n/a,n/a,n/a,Musicians,2015,32
Celebrity,1377,Mark Wahlberg,n/a,n/a,n/a,Actors,2015,32
Celebrity,1378,Pharrell Williams,n/a,n/a,n/a,Musicians,2015,32
Celebrity,1379,Dwayne Johnson,n/a,n/a,n/a,Actors,2015,31.5
Celebrity,1380,Mahendra Singh Dhoni,n/a,n/a,n/a,Athletes,2015,31
Celebrity,1381,Eminem,n/a,n/a,n/a,Hip-hop impresario,2015,31
Celebrity,1382,Neymar,n/a,n/a,n/a,Athletes,2015,31
Celebrity,1383,Britney Spears,n/a,n/a,n/a,Musicians,2015,31
Celebrity,1384,Carmelo Anthony,n/a,n/a,n/a,Athletes,2015,30.5
Celebrity,1385,Johnny Depp,n/a,n/a,n/a,Actors,2015,30
Celebrity,1386,Maria Sharapova,n/a,n/a,n/a,Athletes,2015,29.5
Celebrity,1387,Leonardo DiCaprio,n/a,n/a,n/a,Actors,2015,29
Celebrity,1388,Sean Hannity,n/a,n/a,n/a,Personalities,2015,29
Celebrity,1389,Carson Palmer,n/a,n/a,n/a,Athletes,2015,29
Celebrity,1390,Jim Parsons,n/a,n/a,n/a,Television actors,2015,29
Celebrity,1391,James Rodriguez,n/a,n/a,n/a,Athletes,2015,29
Celebrity,1392,Channing Tatum,n/a,n/a,n/a,Actors,2015,29
Celebrity,1393,Kaley Cuoco-Sweeting,n/a,n/a,n/a,Television actresses,2015,28.5
Celebrity,1394,Kevin Hart,n/a,n/a,n/a,Comedians,2015,28.5
Celebrity,1395,Miranda Lambert,n/a,n/a,n/a,Musicians,2015,28.5
Celebrity,1396,Jennifer Lopez,n/a,n/a,n/a,Musicians,2015,28.5
Celebrity,1397,Blake Shelton,n/a,n/a,n/a,Musicians,2015,28.5
Celebrity,1398,Sofia Vergara,n/a,n/a,n/a,Television actresses,2015,28.5
Celebrity,1399,Taylor Swift,n/a,n/a,n/a,Musicians,2016,170
Celebrity,1400,One Direction,n/a,n/a,n/a,Musicians,2016,110
Celebrity,1401,James Patterson,n/a,n/a,n/a,Authors,2016,95
Celebrity,1402,Dr. Phil McGraw,n/a,n/a,n/a,Personalities,2016,88
Celebrity,1403,Cristiano Ronaldo,n/a,n/a,n/a,Athletes,2016,88
Celebrity,1404,Kevin Hart,n/a,n/a,n/a,Comedians,2016,87.5
Celebrity,1405,Howard Stern,n/a,n/a,n/a,Personalities,2016,85
Celebrity,1406,Lionel Messi,n/a,n/a,n/a,Athletes,2016,81.5
Celebrity,1407,Adele,n/a,n/a,n/a,Musicians,2016,80.5
Celebrity,1408,Rush Limbaugh,n/a,n/a,n/a,Personalities,2016,79
Celebrity,1409,LeBron James,n/a,n/a,n/a,Athletes,2016,77
Celebrity,1410,Madonna,n/a,n/a,n/a,Musicians,2016,76.5
Celebrity,1411,Ellen DeGeneres,n/a,n/a,n/a,Personalities,2016,75
Celebrity,1412,Rihanna,n/a,n/a,n/a,Musicians,2016,75
Celebrity,1413,Garth Brooks,n/a,n/a,n/a,Musicians,2016,70
Celebrity,1414,Roger Federer,n/a,n/a,n/a,Athletes,2016,68
Celebrity,1415,AC/DC,n/a,n/a,n/a,Musicians,2016,67.5
Celebrity,1416,Rolling Stones,n/a,n/a,n/a,Musicians,2016,66.5
Celebrity,1417,Dwayne Johnson,n/a,n/a,n/a,Actors,2016,64.5
Celebrity,1418,David Copperfield,n/a,n/a,n/a,Magicians,2016,64
Celebrity,1419,Calvin Harris,n/a,n/a,n/a,Musicians,2016,63
Celebrity,1420,Sean (Diddy) Combs,n/a,n/a,n/a,Musicians,2016,62
Celebrity,1421,Jackie Chan,n/a,n/a,n/a,Actors,2016,61
Celebrity,1422,Bruce Springsteen,n/a,n/a,n/a,Musicians,2016,60.5
Celebrity,1423,Paul McCartney,n/a,n/a,n/a,Musicians,2016,56.5
Celebrity,1424,Justin Bieber,n/a,n/a,n/a,Musicians,2016,56
Celebrity,1425,Kenny Chesney,n/a,n/a,n/a,Musicians,2016,56
Celebrity,1426,Novak Djokovic,n/a,n/a,n/a,Athletes,2016,56
Celebrity,1427,Kevin Durant,n/a,n/a,n/a,Athletes,2016,56
Celebrity,1428,Matt Damon,n/a,n/a,n/a,Actors,2016,55
Celebrity,1429,Ryan Seacrest,n/a,n/a,n/a,Personalities,2016,55
Celebrity,1430,U2,n/a,n/a,n/a,Musicians,2016,55
Celebrity,1431,The Weeknd,n/a,n/a,n/a,Musicians,2016,55
Celebrity,1432,Beyonce Knowles,n/a,n/a,n/a,Musicians,2016,54
Celebrity,1433,Gordon Ramsay,n/a,n/a,n/a,Personalities,2016,54
Celebrity,1434,Jay-Z,n/a,n/a,n/a,Musicians,2016,53.5
Celebrity,1435,Luke Bryan,n/a,n/a,n/a,Musicians,2016,53
Celebrity,1436,Tom Cruise,n/a,n/a,n/a,Actors,2016,53
Celebrity,1437,Phil Mickelson,n/a,n/a,n/a,Athletes,2016,53
Celebrity,1438,Cam Newton,n/a,n/a,n/a,Athletes,2016,53
Celebrity,1439,Jordan Spieth,n/a,n/a,n/a,Athletes,2016,53
Celebrity,1440,Kim Kardashian,n/a,n/a,n/a,Personalities,2016,51
Celebrity,1441,Kobe Bryant,n/a,n/a,n/a,Athletes,2016,50
Celebrity,1442,Muse,n/a,n/a,n/a,Musicians,2016,49
Celebrity,1443,Foo Fighters,n/a,n/a,n/a,Musicians,2016,48.5
Celebrity,1444,Johnny Depp,n/a,n/a,n/a,Actors,2016,48
Celebrity,1445,Toby Keith,n/a,n/a,n/a,Musicians,2016,47.5
Celebrity,1446,Judy Sheindlin,n/a,n/a,n/a,Personalities,2016,47
Celebrity,1447,Lewis Hamilton,n/a,n/a,n/a,Athletes,2016,46
Celebrity,1448,Jennifer Lawrence,n/a,n/a,n/a,Actresses,2016,46
Celebrity,1449,Tiger Woods,n/a,n/a,n/a,Athletes,2016,45.5
Celebrity,1450,Eli Manning,n/a,n/a,n/a,Athletes,2016,45
Celebrity,1451,Joe Flacco,n/a,n/a,n/a,Athletes,2016,44.5
Celebrity,1452,Bigbang,n/a,n/a,n/a,Musicians,2016,44
Celebrity,1453,Tom Brady,n/a,n/a,n/a,Athletes,2016,44
Celebrity,1454,Floyd Mayweather,n/a,n/a,n/a,Athletes,2016,44
Celebrity,1455,Jerry Seinfeld,n/a,n/a,n/a,Comedians,2016,43.5
Celebrity,1456,Ben Affleck,n/a,n/a,n/a,Actors,2016,43
Celebrity,1457,Sofia Vergara,n/a,n/a,n/a,Television actresses,2016,43
Celebrity,1458,Rory McIlroy,n/a,n/a,n/a,Athletes,2016,42.5
Celebrity,1459,Tiger Woods,n/a,n/a,n/a,Athletes,2016,45.5
Celebrity,1460,Eli Manning,n/a,n/a,n/a,Athletes,2016,45
Celebrity,1461,Joe Flacco,n/a,n/a,n/a,Athletes,2016,44.5
Celebrity,1462,Bigbang,n/a,n/a,n/a,Musicians,2016,44
Celebrity,1463,Tom Brady,n/a,n/a,n/a,Athletes,2016,44
Celebrity,1464,Floyd Mayweather,n/a,n/a,n/a,Athletes,2016,44
Celebrity,1465,Jerry Seinfeld,n/a,n/a,n/a,Comedians,2016,43.5
Celebrity,1466,Ben Affleck,n/a,n/a,n/a,Actors,2016,43
Celebrity,1467,Sofia Vergara,n/a,n/a,n/a,Television actresses,2016,43
Celebrity,1468,Rory McIlroy,n/a,n/a,n/a,Athletes,2016,42.5
Celebrity,1469,Elton John,n/a,n/a,n/a,Musicians,2016,42
Celebrity,1470,Russell Wilson,n/a,n/a,n/a,Athletes,2016,42
Celebrity,1471,Dr. Dre,n/a,n/a,n/a,Musicians,2016,41
Celebrity,1472,Katy Perry,n/a,n/a,n/a,Musicians,2016,41
Celebrity,1473,Sebastian Vettel,n/a,n/a,n/a,Athletes,2016,41
Celebrity,1474,Jimmy Buffett,n/a,n/a,n/a,Musicians,2016,40.5
Celebrity,1475,Mumford & Sons,n/a,n/a,n/a,Musicians,2016,40
Celebrity,1476,Jennifer Lopez,n/a,n/a,n/a,Musicians,2016,39.5
Celebrity,1477,Drake,n/a,n/a,n/a,Musicians,2016,38.5
Celebrity,1478,Philip Rivers,n/a,n/a,n/a,Athletes,2016,38
Celebrity,1479,Tiesto,n/a,n/a,n/a,Musicians,2016,38
Celebrity,1480,Zlatan Ibrahimovic,n/a,n/a,n/a,Athletes,2016,37.5
Celebrity,1481,Rafael Nadal,n/a,n/a,n/a,Athletes,2016,37.5
Celebrity,1482,Neymar,n/a,n/a,n/a,Athletes,2016,37.5
Celebrity,1483,Jason Aldean,n/a,n/a,n/a,Musicians,2016,36.5
Celebrity,1484,Fernando Alonso,n/a,n/a,n/a,Athletes,2016,36.5
Celebrity,1485,Gareth Bale,n/a,n/a,n/a,Athletes,2016,36
Celebrity,1486,Marcell Dareus,n/a,n/a,n/a,Athletes,2016,35
Celebrity,1487,Vin Diesel,n/a,n/a,n/a,Actors,2016,35
Celebrity,1488,Peyton Manning,n/a,n/a,n/a,Athletes,2016,34
Celebrity,1489,Derrick Rose,n/a,n/a,n/a,Athletes,2016,34
Celebrity,1490,Maroon 5,n/a,n/a,n/a,Musicians,2016,33.5
Celebrity,1491,A.J. Green,n/a,n/a,n/a,Athletes,2016,33.5
Celebrity,1492,Kei Nishikori,n/a,n/a,n/a,Athletes,2016,33.5
Celebrity,1493,Ed Sheeran,n/a,n/a,n/a,Musicians,2016,33.5
Celebrity,1494,Robert Downey Jr.,n/a,n/a,n/a,Actors,2016,33
Celebrity,1495,James Harden,n/a,n/a,n/a,Athletes,2016,33
Celebrity,1496,Shah Rukh Khan,n/a,n/a,n/a,Actors,2016,33
Celebrity,1497,Dave Matthews Band,n/a,n/a,n/a,Musicians,2016,33
Celebrity,1498,Melissa McCarthy,n/a,n/a,n/a,Actresses,2016,33
Celebrity,1499,Usain Bolt,n/a,n/a,n/a,Athletes,2016,32.5
Celebrity,1500,Clayton Kershaw,n/a,n/a,n/a,Athletes,2016,32
Celebrity,1501,Dwyane Wade,n/a,n/a,n/a,Athletes,2016,32
Celebrity,1502,Akshay Kumar,n/a,n/a,n/a,Actors,2016,31.5
Celebrity,1503,Penn & Teller,n/a,n/a,n/a,Magicians,2016,31.5
Celebrity,1504,Brad Pitt,n/a,n/a,n/a,Actors,2016,31.5
Celebrity,1505,Carmelo Anthony,n/a,n/a,n/a,Athletes,2016,31
Celebrity,1506,Drew Brees,n/a,n/a,n/a,Athletes,2016,31
Celebrity,1507,Gisele Bündchen,n/a,n/a,n/a,Models,2016,30.5
Celebrity,1508,Britney Spears,n/a,n/a,n/a,Musicians,2016,30.5
Celebrity,1509,Sean (Diddy) Combs,n/a,n/a,n/a,Musicians,2017,130
Celebrity,1510,Beyonce Knowles,n/a,n/a,n/a,Musicians,2017,105
Celebrity,1511,J.K. Rowling,n/a,n/a,n/a,Authors,2017,95
Celebrity,1512,Drake,n/a,n/a,n/a,Musicians,2017,94
Celebrity,1513,Cristiano Ronaldo,n/a,n/a,n/a,Athletes,2017,93
Celebrity,1514,The Weeknd,n/a,n/a,n/a,Musicians,2017,92
Celebrity,1515,Howard Stern,n/a,n/a,n/a,Personalities,2017,90
Celebrity,1516,Coldplay,n/a,n/a,n/a,Musicians,2017,88
Celebrity,1517,James Patterson,n/a,n/a,n/a,Authors,2017,87
Celebrity,1518,LeBron James,n/a,n/a,n/a,Athletes,2017,86
Celebrity,1519,Guns N' Roses,n/a,n/a,n/a,Musicians,2017,84
Celebrity,1520,Rush Limbaugh,n/a,n/a,n/a,Personalities,2017,84
Celebrity,1521,Justin Bieber,n/a,n/a,n/a,Musicians,2017,83.5
Celebrity,1522,Lionel Messi,n/a,n/a,n/a,Athletes,2017,80
Celebrity,1523,Dr. Phil McGraw,n/a,n/a,n/a,Personalities,2017,79
Celebrity,1524,Ellen DeGeneres,n/a,n/a,n/a,Personalities,2017,77
Celebrity,1525,Bruce Springsteen,n/a,n/a,n/a,Musicians,2017,75
Celebrity,1526,Adele,n/a,n/a,n/a,Musicians,2017,69
Celebrity,1527,Jerry Seinfeld,n/a,n/a,n/a,Comedians,2017,69
